"Marca temporal","1.-Edad:","2.-Sexo:","3.-¿En qué semestre te encuentras?  ","4.-¿Tienes conocimiento sobre el uso de la plataforma Moodle y la aplicación Siringuero Net?  ","5.-¿Con qué frecuencia utilizas Siringuero Net?","6.-¿Conoces la plataforma Moodle?","7.-¿Utilizas Siringuero Net para consultar tus notas académicas?  ","8.-¿Que plataformas utilizan con mayor frecuencia tus docentes?  ","9.-¿Utilizas Siringuero Net para revisar información académica?","10.-¿Consideras que el uso de otras plataformas educativas por parte de los docentes mejora el aprendizaje?","11.-¿Siringuero Net te ayuda a controlar tus actividades académicas?  ","12.-¿Con qué frecuencia tienes dificultades al usar Moodle o Siringuero Net? ","13.- ¿Prefieres utilizar plataformas virtuales para complementar tus clases presenciales?  ","14.-¿Las plataformas utilizadas por los docentes facilitan la entrega la entrega de tarea y al acceso al material de estudio?  ","15.-¿Consideras que el uso de Moodle y Siringuero Net mejora tu rendimiento académico?  "
"2026/04/27 7:28:16 p. m. GMT-4","18","Masculino","1° Semestre","No","A veces","Si","A veces","otra","Si","Si","Si","Frecuentemente","Si","Siempre","Si"
"2026/04/27 7:35:09 p. m. GMT-4","19 años ","Masculino","1° Semestre","Solo en Siriguero Net","A veces","No","Siempre","Classroom","Si","Si","Si","A veces","Si","A veces","Si"
"2026/04/27 7:35:57 p. m. GMT-4","19","Masculino","1° Semestre","Si","Frecuentemente","Si","Siempre","Classroom","Si","Si","Si","A veces","Si","A veces","Si"
"2026/04/28 8:08:48 a. m. GMT-4","19","Masculino","1° Semestre","Si","A veces","Si","Frecuentemente","Classroom","Si","Si","Si","A veces","Si","A veces","Si"
"2026/04/28 8:09:32 a. m. GMT-4","23","Masculino","3° Semestre","No","A veces","Si","Siempre","Classroom","Si","No","Si","A veces","Si","Siempre","No"
"2026/04/28 8:10:57 a. m. GMT-4","22","Masculino","1° Semestre","Solo en Siriguero Net","A veces","Si","Frecuentemente","Classroom","No","Si","Si","A veces","Si","A veces","Si"
"2026/04/28 8:15:52 a. m. GMT-4","18","Masculino","1° Semestre","No","Siempre","No","Siempre","Classroom","Si","Si","No","A veces","No","Siempre","Si"
"2026/04/28 8:16:10 a. m. GMT-4","18","Masculino","1° Semestre","Si","Frecuentemente","Si","Siempre","otra","No","Si","Si","A veces","Si","Frecuentemente","Si"
"2026/04/28 8:16:13 a. m. GMT-4","18","Prefiero no decirlo","1° Semestre","Solo en Siriguero Net","A veces","","Frecuentemente","otra","Si","Si","Si","Siempre","Si","A veces","Si"
"2026/04/28 8:16:54 a. m. GMT-4","18","Masculino","","No","A veces","Si","Frecuentemente","otra","No","Si","Si","Frecuentemente","No","Siempre","Si"
"2026/04/28 8:16:55 a. m. GMT-4","18","Masculino","1° Semestre","Si","Frecuentemente","Si","Frecuentemente","otra","Si","Si","Si","A veces","Si","Frecuentemente","Si"
"2026/04/28 8:17:15 a. m. GMT-4","","Masculino","1° Semestre","Si","A veces","Si","A veces","Classroom","Si","Si","Si","A veces","Si","",""
"2026/04/28 8:19:16 a. m. GMT-4","18","Femenino","1° Semestre","Si","A veces","Si","A veces","otra","No","Si","No","A veces","Si","A veces","Si"
"2026/04/28 8:24:15 a. m. GMT-4","19","Masculino","3° Semestre","Si","Frecuentemente","Si","Siempre","Classroom","Si","Si","Si","Frecuentemente","Si","Frecuentemente","Si"
"2026/04/28 8:26:55 a. m. GMT-4","18","Masculino","3° Semestre","Si","A veces","Si","Siempre","otra","Si","Si","Si","A veces","Si","Frecuentemente","Si"
"2026/04/28 8:27:07 a. m. GMT-4","20","Masculino","3° Semestre","Si","Frecuentemente","Si","Siempre","Classroom","Si","Si","Si","A veces","No","Siempre","Si"
"2026/04/28 8:27:47 a. m. GMT-4","20","Masculino","1° Semestre","Si","Frecuentemente","Si","Siempre","otra","Si","Si","Si","A veces","Si","Frecuentemente","Si"
"2026/04/28 8:27:56 a. m. GMT-4","20","Masculino","3° Semestre","Si","Siempre","Si","Siempre","otra","Si","Si","Si","A veces","No","Siempre","Si"
"2026/04/28 8:29:35 a. m. GMT-4","20","Masculino","3° Semestre","Si","A veces","Si","Frecuentemente","Classroom","Si","Si","Si","Frecuentemente","No","Frecuentemente","Si"
"2026/04/28 12:13:30 p. m. GMT-4","21","Femenino","7° Semestre","Si","A veces","Si","Siempre","Classroom","Si","Si","Si","A veces","Si","Frecuentemente","Si"
"2026/04/28 12:17:53 p. m. GMT-4","2738848","Prefiero no decirlo","","Solo en Siriguero Net","Nunca","No","Nunca","otra","No","No","No","Nunca","No","Nunca","No"
"2026/04/28 12:31:36 p. m. GMT-4","32","Femenino","7° Semestre","Si","Siempre","Si","Siempre","Classroom","Si","No","Si","Nunca","Si","Siempre","Si"
"2026/04/28 12:45:19 p. m. GMT-4","19","","","Si","","","","","","No","Si","Frecuentemente","Si","Siempre","Si"
"2026/04/28 1:46:07 p. m. GMT-4","","Masculino","7° Semestre","Si","Frecuentemente","Si","Siempre","Google Meet","Si","Si","Si","Nunca","No","Siempre","Si"
"2026/04/28 3:03:00 p. m. GMT-4","21","Femenino","7° Semestre","Si","Frecuentemente","Si","Siempre","Classroom","Si","No","Si","Nunca","No","A veces","No"
"2026/04/28 5:00:33 p. m. GMT-4","24","Masculino","7° Semestre","Si","Frecuentemente","Si","Siempre","Classroom","No","Si","No","A veces","Si","Frecuentemente","Si"
"2026/04/29 9:49:10 a. m. GMT-4","19","Masculino","1° Semestre","No","A veces","No","A veces","otra","Si","Si","Si","A veces","Si","Siempre","Si"
"2026/04/29 9:49:26 a. m. GMT-4","19","Masculino","1° Semestre","Si","A veces","No","Siempre","otra","Si","No","Si","A veces","Si","Frecuentemente","Si"
"2026/04/29 10:19:34 a. m. GMT-4","30","Femenino","5° Semestre","Si","Siempre","Si","Siempre","Classroom","No","Si","Si","A veces","Si","A veces","Si"
