"Marca temporal,""1) �Que productos compro con mayor frecuencia?"",""2) �Como califica el sabor de los productos?"",""3) �Como califica la presentaci�n de los productos?"",""4) �Como califica la atencion al cliente?"",""5) �Como considera el precio en relaci�n a la calidad?"",""6) �Volveria a comprar a esta repostera?"",""7) �Recomendaria este servicio a otras personas?"",""8) �Como percibe la higiene del producto?"",""9) �el empaque del producto es adecuado?"",""10) �La variedad de productos le parece suficiente?"""
"2026/04/16 7:05:50 p. m. GMT-4,""Pay de limon"",""Bueno"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:07:18 p. m. GMT-4,""Pay de limon"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:07:52 p. m. GMT-4,""Tortas"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Poco Suficiente"""
"2026/04/16 7:11:53 p. m. GMT-4,""Tortas"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:13:59 p. m. GMT-4,""Huevos de pascua"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:15:10 p. m. GMT-4,""Tortas"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:16:30 p. m. GMT-4,""Tortas"",""Bueno"",""Poco atractiva"",""Excelente"",""Poco Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Poco Suficiente"""
"2026/04/16 7:39:43 p. m. GMT-4,""Pay de limon"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 7:54:24 p. m. GMT-4,""Cupcakes"",""Excelente"",""Atractiva"",""Bueno"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Poco Suficiente"""
"2026/04/16 8:08:13 p. m. GMT-4,""Pay de limon"",""Bueno"",""Poco atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Bueno"",""Adecuado"",""Suficiente"""
"2026/04/16 8:19:21 p. m. GMT-4,""Huevos de pascua"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/16 8:25:51 p. m. GMT-4,""Huevos de pascua"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/17 2:21:35 p. m. GMT-4,""Pay de limon"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/17 6:09:34 p. m. GMT-4,""Pay de limon"",""Bueno"",""Atractiva"",""Excelente"",""Poco Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Poco Suficiente"""
"2026/04/18 10:15:30 a. m. GMT-4,""Brownies"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/18 1:45:20 p. m. GMT-4,""Cupcakes"",""Bueno"",""Atractiva"",""Bueno"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/18 5:30:10 p. m. GMT-4,""Tortas"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/19 9:20:45 a. m. GMT-4,""Huevos de pascua"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/19 12:10:15 p. m. GMT-4,""Pay de limon"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/19 4:05:50 p. m. GMT-4,""Brownies"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/20 8:30:00 a. m. GMT-4,""Cupcakes"",""Bueno"",""Poco atractiva"",""Excelente"",""Poco Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Poco Suficiente"""
"2026/04/20 11:55:25 a. m. GMT-4,""Tortas"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/20 3:40:35 p. m. GMT-4,""Pay de limon"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/21 7:15:50 a. m. GMT-4,""Huevos de pascua"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
"2026/04/21 6:20:10 p. m. GMT-4,""Brownies"",""Excelente"",""Atractiva"",""Excelente"",""Adecuado"",""Si"",""Si"",""Excelente"",""Adecuado"",""Suficiente"""
